X,Y,facname,facdomain,borocd
-73.950966,40.669493,Philadelphia Montoring Program,"Education, Child Welfare, and Youth",309
-73.945022,40.659968,Church Of God Of Prophecy,"Education, Child Welfare, and Youth",309
-73.942281,40.6661,Crown Heights Jewish Community Council,Libraries and Cultural Programs,309
-73.945053,40.66493,Machne Chaya,"Education, Child Welfare, and Youth",309
-73.947547,40.667582,Vaad Hakol Crown Heights,Health and Human Services,309
-73.951161,40.656789,IS 2 Parking,"Education, Child Welfare, and Youth",309
-73.93541,40.668422,City Owned Property,Administration of Government,309
-73.961872,40.661765,Sparks Of Genins,"Education, Child Welfare, and Youth",309
-73.936237,40.656608,Appellate Division 2nd Department - Mental Hygiene Legal Service,"Public Safety, Emergency Services, and Administration of Justice",309
-73.962153,40.660878,The Maple Street School,"Education, Child Welfare, and Youth",309
-73.940009,40.656514,Camba Gardens,Health and Human Services,309
-73.936237,40.656608,Bridger Transitional - NonMedicaid CC,Health and Human Services,309
-73.959596,40.664913,Plg Trail Blazers,"Education, Child Welfare, and Youth",309
-73.945022,40.659968,Crown Heights Community Outreach Center,Health and Human Services,309
-73.946217,40.659491,Darchai Menachem Inc,"Education, Child Welfare, and Youth",309
-73.942532,40.665708,"Jewish Community Council of Greater Coney Island, Inc.","Education, Child Welfare, and Youth",309
-73.953864,40.666081,"Bambi Day Care, Inc.","Education, Child Welfare, and Youth",309
-73.958706,40.667267,Crown Heights Youth,"Education, Child Welfare, and Youth",309
-73.950991,40.667613,Comm Bd 9,Administration of Government,309
-73.938053,40.667863,City Owned Property,Administration of Government,309
-73.941937,40.659671,The League School,Health and Human Services,309
-73.957641,40.666338,Academic Building,"Education, Child Welfare, and Youth",309
-73.944933,40.656638,Mobile Crisis,Health and Human Services,309
-73.937193,40.666674,Beis Chaya Mushka,"Education, Child Welfare, and Youth",309
-73.929709,40.6683,Carribean American Sports,"Education, Child Welfare, and Youth",309
-73.944641,40.659255,George Wingate Educational Campus,Health and Human Services,309
-73.932,40.665497,All My Children Day Care & Nursery School,"Education, Child Welfare, and Youth",309
-73.958098,40.665063,Brooklyn Housing And Family Services At Ebbets Field,"Education, Child Welfare, and Youth",309
-73.956775,40.669883,B & K Moving & Delivery Services Inc.,Core Infrastructure and Transportation,309
-73.942458,40.658893,School for Democracy,"Education, Child Welfare, and Youth",309
-73.951337,40.667222,Research Foundation of CUNY - Medgar Evers College,"Education, Child Welfare, and Youth",309
-73.941867,40.658979,Brooklyn Central Laundry Bldg,Health and Human Services,309
-73.96118,40.658996,"STEM From Dance, Inc.",Libraries and Cultural Programs,309
-73.952195,40.667253,Medgar Evers College,"Education, Child Welfare, and Youth",309
-73.943273,40.65899,School For Democracy & Leadership,"Education, Child Welfare, and Youth",309
-73.936237,40.656608,Mobile Integration Team,Health and Human Services,309
-73.953879,40.656245,P.S. 092 Adrian Hegeman,"Education, Child Welfare, and Youth",309
-73.956573,40.664657,Full Gospel Assembly,Health and Human Services,309
-73.932912,40.660298,USDA-CEO P373 At Kingsbrook Medical,"Education, Child Welfare, and Youth",309
-73.948133,40.661203,Crown Heights,Libraries and Cultural Programs,309
-73.951583,40.656183,Middle School 2,"Education, Child Welfare, and Youth",309
-73.94589,40.662441,Associated Beth Rivkah School - UPK,"Education, Child Welfare, and Youth",309
-73.949225,40.665915,PS 161 & Playground,"Parks, Gardens, and Historical Sites",309
-73.945336,40.659718,Wingate Park,"Education, Child Welfare, and Youth",309
-73.948628,40.668956,M A C A D E M Y,"Education, Child Welfare, and Youth",309
-73.955165,40.669508,Web Dubois High School,Health and Human Services,309
-73.950796,40.655971,Lasante Health Center,Health and Human Services,309
-73.947282,40.662367,All My Children Day Care 10,"Education, Child Welfare, and Youth",309
-73.955165,40.669508,W.E.B. Dubois Academic High School,"Education, Child Welfare, and Youth",309
-73.953879,40.656245,Achievement First Voyager Charter,"Education, Child Welfare, and Youth",309
-73.939488,40.665277,United Lubavitah School,"Education, Child Welfare, and Youth",309
-73.937834,40.662582,All My Children Day Care Site 16,"Education, Child Welfare, and Youth",309
-73.944745,40.661712,Bnos Chomesh Academy,"Education, Child Welfare, and Youth",309
-73.931748,40.664212,Carribean Amer/Montgomery Aca,"Education, Child Welfare, and Youth",309
-73.938504,40.66187,Fort Greene Council,Health and Human Services,309
-73.950796,40.655971,Gotham Career Institute Center For W,"Education, Child Welfare, and Youth",309
-73.944798,40.668456,St Marks Day Sch Lower Level,"Education, Child Welfare, and Youth",309
-73.96118,40.658996,Jenuwen Car Park Inc.,Core Infrastructure and Transportation,309
-73.961436,40.669083,P.S. K753 - School For Career Development,"Education, Child Welfare, and Youth",309
-73.956856,40.657193,Hawthorne Corners DCC,"Education, Child Welfare, and Youth",309
-73.93884,40.662526,All My Children Daycare (Swing Space),"Education, Child Welfare, and Youth",309
-73.941037,40.668873,National Comm. For Furtherance of Jewish Ed.,Health and Human Services,309
-73.958313,40.660866,Nia Lyceum,"Education, Child Welfare, and Youth",309
-73.956283,40.668255,Ebenezer Haitian Baptist Church,Health and Human Services,309
-73.938256,40.662552,Bnos Menachem,"Education, Child Welfare, and Youth",309
-73.947091,40.65869,Aces Towing & Collision Inc.,Core Infrastructure and Transportation,309
-73.945022,40.659968,Crown Heights Community Outreach Center,Health and Human Services,309
