X,Y,facname,facdomain,borocd
-74.074662,40.636343,Hannah Street Pumping Station,Core Infrastructure and Transportation,501
-74.136948,40.639532,New World Prep Charter School,"Education, Child Welfare, and Youth",501
-74.080885,40.620479,IS 49,"Education, Child Welfare, and Youth",501
-74.1121,40.643651,Kreuzer-Pelton House,"Parks, Gardens, and Historical Sites",501
-74.097534,40.641442,St. Peter School,"Education, Child Welfare, and Youth",501
-74.111307,40.644742,City Owned Property,Administration of Government,501
-74.096409,40.642304,Community Agency For Senior Citizens Inc,Health and Human Services,501
-74.130831,40.626985,Howard,"Education, Child Welfare, and Youth",501
-74.149112,40.637394,American Wrecking International Corp,Core Infrastructure and Transportation,501
-74.07903,40.622233,PS 14 Plgd R-61,"Parks, Gardens, and Historical Sites",501
-74.08767,40.638972,New Brighton Church of God in Christ,Health and Human Services,501
-74.077196,40.640659,Courthouse/Memorial Grn/Garage,"Public Safety, Emergency Services, and Administration of Justice",501
-74.079468,40.620993,NYPD/Future 121st Precinct,Administration of Government,501
-74.083628,40.611042,Y After School At PS 57,"Education, Child Welfare, and Youth",501
-74.08095,40.640201,Espinoza,"Education, Child Welfare, and Youth",501
-74.145891,40.635119,City Owned Property,Administration of Government,501
-74.187976,40.637347,Howland Hook Marine Dist Ctr,Administration of Government,501
-74.107317,40.627878,PS 45 Playground,"Parks, Gardens, and Historical Sites",501
-74.083899,40.638746,C. Liotti Ikefugi Playground,"Parks, Gardens, and Historical Sites",501
-74.075958,40.6424,Staten Island Borough Hall,Administration of Government,501
-74.082697,40.648145,City Owned Property,Administration of Government,501
-74.121082,40.61091,St. John's Ev Lutheran Preschool,"Education, Child Welfare, and Youth",501
-74.0897,40.641715,Hamilton Park Community Houses,"Parks, Gardens, and Historical Sites",501
-74.083899,40.638746,C. Liotti Ikefugi Playground,"Parks, Gardens, and Historical Sites",501
-74.097914,40.644949,City Owned Property,Administration of Government,501
-74.081619,40.614856,Staten Island Liberian Community,Health and Human Services,501
-74.075159,40.642614,P/O St. George Ferry Terminal,Core Infrastructure and Transportation,501
-74.121045,40.636328,Absolute Collision Inc.,Core Infrastructure and Transportation,501
-74.150622,40.614844,Early Learning Center,"Education, Child Welfare, and Youth",501
-74.084434,40.647113,CCCS/St. Peter's Church,Health and Human Services,501
-74.10903,40.614324,Richmond Kidney Center,Health and Human Services,501
-74.103754,40.63528,Staten Island MH Society CHAIT Clinic of RUMC,Health and Human Services,501
-74.105867,40.635687,Inpatient Unit,Health and Human Services,501
-74.075739,40.64,Up & Growing Day Care,"Education, Child Welfare, and Youth",501
-74.073726,40.627951,"Imperial Parking (U.S.), LLC",Core Infrastructure and Transportation,501
-74.0956,40.643202,New Brighton Village Hall,"Parks, Gardens, and Historical Sites",501
-74.077256,40.642769,SI Civil & County Clerk,Administration of Government,501
-74.132166,40.626191,"Camelot of Staten Island, Inc. OP",Health and Human Services,501
-74.099502,40.613426,PS 35 & Playground,"Education, Child Welfare, and Youth",501
-74.081525,40.620541,USDA-CEO P025r At IS 49r,"Education, Child Welfare, and Youth",501
-74.061857,40.612925,New Lane,Health and Human Services,501
-74.077147,40.642875,Staten Island Family Justice Center,Health and Human Services,501
-74.122598,40.641152,Heritage Park,"Parks, Gardens, and Historical Sites",501
-74.080945,40.618508,Staten Island YMCA Cnsling Srvce OP 1,Health and Human Services,501
-74.077562,40.643267,Camba,Health and Human Services,501
-74.15685,40.631572,P.S. 044 Thomas C Brown,"Education, Child Welfare, and Youth",501
-74.104713,40.644776,Children's Harbor Montessori School,"Education, Child Welfare, and Youth",501
-74.069579,40.620585,NYC Board of Elections Office,Administration of Government,501
-74.096014,40.632064,Silver Lake Support Services OP,Health and Human Services,501
-74.109324,40.634478,Carol Molinaro DCI Dialysis Center,Health and Human Services,501
-74.127078,40.630828,PS 19,"Education, Child Welfare, and Youth",501
-74.11717,40.63527,NYC Parks-Corporal Thompson Park,"Education, Child Welfare, and Youth",501
-74.084455,40.641848,Gardner,"Education, Child Welfare, and Youth",501
-74.150575,40.614746,Rabbi Jacob Joseph School,"Education, Child Welfare, and Youth",501
-74.078982,40.642911,USDA-CEO P721r At Ralph Mckee H.S.,"Education, Child Welfare, and Youth",501
-74.152149,40.63045,"4 Angels Day Care, Inc.","Education, Child Welfare, and Youth",501
-74.101499,40.645125,Sailors Snug Harbor Park,"Parks, Gardens, and Historical Sites",501
-74.159639,40.631249,Little L.A.M.B. Preschool,"Education, Child Welfare, and Youth",501
-74.0637,40.614481,McFarlane-Bredt House,"Parks, Gardens, and Historical Sites",501
-74.078054,40.640995,Family Support Program,Health and Human Services,501
-74.157325,40.631675,PS 44,"Education, Child Welfare, and Youth",501
-74.112718,40.643492,Port Rich Water Pollution Con.,"Parks, Gardens, and Historical Sites",501
-74.08888,40.647581,North Shore Esplanade,Administration of Government,501
-74.145112,40.622977,I.S. 051 Edwin Markham (R051),"Education, Child Welfare, and Youth",501
-74.125376,40.633095,The Child Study Center Of New York,"Education, Child Welfare, and Youth",501
-74.078886,40.615744,"Eden II School For Autistic Children, Inc.","Education, Child Welfare, and Youth",501
-74.114103,40.625293,SI YMCA Nursery - North,"Education, Child Welfare, and Youth",501
-74.076018,40.640696,Brightpoint Health OP 1,Health and Human Services,501
-74.121588,40.630607,Group Home,"Education, Child Welfare, and Youth",501
-74.077973,40.641306,"Career School Of NY, Inc.","Education, Child Welfare, and Youth",501
-74.162162,40.633832,City Owned Property,Administration of Government,501
-74.078508,40.622455,P.S. 14 Cornelius Vanderbilt S,"Education, Child Welfare, and Youth",501
-74.077999,40.622723,Richmond Center for Rehabilitation and Specialty Healthcare,Health and Human Services,501
-74.077562,40.643267,NYC Business Solutions Staten Island Center,Health and Human Services,501
-74.116922,40.636639,P.S. 18,Health and Human Services,501
-74.073326,40.627385,Loop Road,Administration of Government,501
-74.0794,40.629472,"Van Duzer Street, Houses at 364 and 390","Parks, Gardens, and Historical Sites",501
-74.076475,40.641193,CSS Outreach,Health and Human Services,501
-74.105786,40.634536,RUMC Gamblers' Treatment Program OP,Health and Human Services,501
-74.075958,40.6424,Staten Island Borough Hall,Administration of Government,501
-74.164543,40.620393,IS 51 Annex,"Education, Child Welfare, and Youth",501
-74.100216,40.645005,Sailor's Snug Harbor Pk-Addtn,"Parks, Gardens, and Historical Sites",501
-74.07505,40.641662,5 Bay Street Condominium,Administration of Government,501
-74.081279,40.622434,Stapleton,Health and Human Services,501
-74.117889,40.635849,United Activities Unlimited,"Education, Child Welfare, and Youth",501
-74.146133,40.630617,City Owned Property,Administration of Government,501
-74.127909,40.634771,May Kam Auto Center Inc,Core Infrastructure and Transportation,501
-74.087746,40.637549,"Eng 155, Lad 78","Public Safety, Emergency Services, and Administration of Justice",501
-74.129504,40.619869,City Owned Property,Administration of Government,501
-74.085173,40.618011,Bedford Green Park,"Parks, Gardens, and Historical Sites",501
-74.079651,40.623247,Stapleton Playground,"Parks, Gardens, and Historical Sites",501
-74.075356,40.622738,RUMC-Bayley Seton,Health and Human Services,501
-74.097552,40.638961,Goodhue Center,"Education, Child Welfare, and Youth",501
-74.142551,40.636773,City Owned Property,Administration of Government,501
-74.083786,40.614971,Sobel Court Park,"Parks, Gardens, and Historical Sites",501
-74.156542,40.63404,City Owned Property,Administration of Government,501
-74.142403,40.634601,Port Richmond HS & Af,"Education, Child Welfare, and Youth",501
-74.111874,40.635011,Civil Court,"Public Safety, Emergency Services, and Administration of Justice",501
-74.078362,40.633683,SI Area Office (Old PS 15),Administration of Government,501
-74.107663,40.638944,"Serenade at Historic Christ Church, Inc.",Libraries and Cultural Programs,501
-74.078054,40.640995,Residential Family Peer Support,Health and Human Services,501
-74.150561,40.624806,PS 22,"Education, Child Welfare, and Youth",501
-74.08603,40.631297,Our Lady Of Good Counsel School,"Education, Child Welfare, and Youth",501
-74.097743,40.641335,St. Peter - St. Paul School,"Education, Child Welfare, and Youth",501
-74.108756,40.61963,Clove Lakes Park,"Parks, Gardens, and Historical Sites",501
-74.10775,40.620319,Illuminart Productions,Libraries and Cultural Programs,501
-74.103847,40.635189,P025r At SI Mental Health Center,"Education, Child Welfare, and Youth",501
-74.077502,40.63441,SI Lcu,Core Infrastructure and Transportation,501
-74.097826,40.634009,I S 061 William A Morris (R061),"Education, Child Welfare, and Youth",501
-74.123087,40.615342,Elim Christian Assembly,"Education, Child Welfare, and Youth",501
-74.077796,40.627198,Staten Island University Hosp. OTP 1,Health and Human Services,501
